Timestamp,Name,CPUPerc,MemUsage,NetIO,BlockIO
2026-04-30 15:00:24,app-node,0.00%,15.29MiB / 7.133GiB,100kB / 61.9kB,55.2MB / 33MB
2026-04-30 15:00:24,cli,0.00%,1.887MiB / 7.133GiB,7.81kB / 126B,1.2MB / 0B
2026-04-30 15:00:24,peer0.org2.esign.com,1.41%,115.1MiB / 7.133GiB,15.7MB / 6.79MB,14.9MB / 19.9MB
2026-04-30 15:00:24,peer1.org2.esign.com,1.43%,99.9MiB / 7.133GiB,15.6MB / 15.7MB,41.2MB / 45.5MB
2026-04-30 15:00:24,peer1.org1.esign.com,1.50%,123.7MiB / 7.133GiB,22.4MB / 11MB,12.6MB / 97.9MB
2026-04-30 15:00:24,peer0.org1.esign.com,1.44%,142MiB / 7.133GiB,42.8MB / 50.8MB,12.5MB / 87.8MB
2026-04-30 15:00:24,couchdb.peer0.org1,1.55%,73.88MiB / 7.133GiB,6.5MB / 5.56MB,57.5MB / 115MB
2026-04-30 15:00:24,couchdb.peer1.org2,1.24%,57.56MiB / 7.133GiB,2.76MB / 2.66MB,47.5MB / 73.7MB
2026-04-30 15:00:24,couchdb.peer0.org2,1.44%,58MiB / 7.133GiB,2.76MB / 2.66MB,32.7MB / 67.7MB
2026-04-30 15:00:24,couchdb.peer1.org1,2.40%,78.26MiB / 7.133GiB,6.46MB / 5.16MB,42.4MB / 96.8MB
2026-04-30 15:00:24,nats.org1.esign.com,0.21%,8.5MiB / 7.133GiB,42.7kB / 46.8kB,6.69MB / 315kB
2026-04-30 15:00:24,orderer.esign.com,0.08%,40.42MiB / 7.133GiB,9.68MB / 18.6MB,47.3MB / 33.2MB
2026-04-30 15:00:24,nats.org2.esign.com,0.12%,8.117MiB / 7.133GiB,43.5kB / 48kB,7.36MB / 741kB
2026-04-30 15:00:32,bold_shamir,265.57%,653.8MiB / 7.133GiB,7.81MB / 10.2MB,68.8MB / 11.7MB
2026-04-30 15:00:32,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,25.28MiB / 7.133GiB,8.13MB / 6.99MB,17.5MB / 57.3kB
2026-04-30 15:00:32,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,15.6kB / 10.6kB,8.19MB / 786kB
2026-04-30 15:00:32,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,16.5kB / 11.6kB,8.2MB / 2.41MB
2026-04-30 15:00:32,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,15.6kB / 10.6kB,16MB / 664kB
2026-04-30 15:00:32,app-node,0.00%,14.8MiB / 7.133GiB,101kB / 62kB,55.2MB / 33MB
2026-04-30 15:00:32,cli,0.00%,1.887MiB / 7.133GiB,7.81kB / 126B,1.2MB / 0B
2026-04-30 15:00:32,peer0.org2.esign.com,72.37%,111.3MiB / 7.133GiB,18.8MB / 7.38MB,14.9MB / 23.2MB
2026-04-30 15:00:32,peer1.org2.esign.com,70.52%,116.7MiB / 7.133GiB,18.8MB / 18.8MB,43.1MB / 48.7MB
2026-04-30 15:00:32,peer1.org1.esign.com,93.10%,135.3MiB / 7.133GiB,27.4MB / 12.5MB,13.4MB / 122MB
2026-04-30 15:00:32,peer0.org1.esign.com,244.22%,146.4MiB / 7.133GiB,53.8MB / 63.8MB,13.8MB / 106MB
2026-04-30 15:00:32,couchdb.peer0.org1,78.89%,102.1MiB / 7.133GiB,7.78MB / 6.72MB,59.3MB / 121MB
2026-04-30 15:00:32,couchdb.peer1.org2,30.42%,67.53MiB / 7.133GiB,3.32MB / 3.23MB,47.6MB / 77.2MB
2026-04-30 15:00:32,couchdb.peer0.org2,36.11%,62.23MiB / 7.133GiB,3.32MB / 3.25MB,32.8MB / 71.2MB
2026-04-30 15:00:32,couchdb.peer1.org1,55.28%,102.7MiB / 7.133GiB,7.74MB / 6.28MB,42.7MB / 103MB
2026-04-30 15:00:32,nats.org1.esign.com,0.21%,7.996MiB / 7.133GiB,42.7kB / 46.8kB,6.69MB / 315kB
2026-04-30 15:00:32,orderer.esign.com,25.06%,48.37MiB / 7.133GiB,12.5MB / 23.8MB,47.8MB / 38.9MB
2026-04-30 15:00:32,nats.org2.esign.com,0.06%,7.121MiB / 7.133GiB,43.6kB / 48.1kB,7.36MB / 741kB
2026-04-30 15:00:40,bold_shamir,0.00%,677.9MiB / 7.133GiB,9.46MB / 12.9MB,68.8MB / 11.7MB
2026-04-30 15:00:40,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,27.03MiB / 7.133GiB,9.71MB / 8.34MB,17.5MB / 57.3kB
2026-04-30 15:00:40,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,15.7kB / 10.6kB,8.19MB / 786kB
2026-04-30 15:00:40,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,16.6kB / 11.6kB,8.2MB / 2.41MB
2026-04-30 15:00:40,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,15.7kB / 10.7kB,16MB / 664kB
2026-04-30 15:00:40,app-node,0.00%,15.1MiB / 7.133GiB,102kB / 63.4kB,55.2MB / 33MB
2026-04-30 15:00:40,cli,0.00%,1.887MiB / 7.133GiB,7.81kB / 126B,1.2MB / 0B
2026-04-30 15:00:40,peer0.org2.esign.com,1.33%,110.9MiB / 7.133GiB,20.9MB / 8.08MB,14.9MB / 25.5MB
2026-04-30 15:00:40,peer1.org2.esign.com,1.37%,128.7MiB / 7.133GiB,20.9MB / 21.1MB,43.2MB / 50.9MB
2026-04-30 15:00:40,peer1.org1.esign.com,1.33%,140.7MiB / 7.133GiB,30.6MB / 14.2MB,13.4MB / 134MB
2026-04-30 15:00:40,peer0.org1.esign.com,1.48%,167.8MiB / 7.133GiB,60MB / 71.8MB,14.5MB / 117MB
2026-04-30 15:00:40,couchdb.peer0.org1,8.86%,125.9MiB / 7.133GiB,9.35MB / 7.61MB,61.6MB / 136MB
2026-04-30 15:00:40,couchdb.peer1.org2,2.29%,69.1MiB / 7.133GiB,3.97MB / 3.72MB,47.8MB / 82.4MB
2026-04-30 15:00:40,couchdb.peer0.org2,1.62%,65.08MiB / 7.133GiB,3.97MB / 3.73MB,32.9MB / 76.6MB
2026-04-30 15:00:40,couchdb.peer1.org1,8.19%,121.6MiB / 7.133GiB,9.31MB / 7.21MB,46.6MB / 121MB
